step,distFromStart,speedX,speedY,angle,trackPos,sensorFront,curLapTime,lastLapTime,steer,accel,brake,gear
134,2759.9,74.6157,-0.289098,-0.0239862,0.0181648,135.352,1.724,0.0,0.026814818666856116,0.88,0.0,2
135,2760.32,75.6365,-0.360152,-0.0263575,0.019889,133.853,1.744,0.0,0.027919040051310358,0.88,0.0,2
136,2760.74,76.6609,-0.4408,-0.0289677,0.0217688,132.135,1.764,0.0,0.028999396052657278,0.88,0.0,2
137,2761.17,77.6883,-0.531865,-0.0318363,0.0238194,130.113,1.784,0.0,0.02992228054209655,0.88,0.0,2
138,2761.61,78.7186,-0.634229,-0.0349849,0.0260563,127.602,1.804,0.0,0.03063926733424468,0.88,0.0,2
139,2762.05,79.7515,-0.750822,-0.0384162,0.0284976,124.04,1.824,0.0,0.031146340315215803,0.88,0.0,2
140,2762.49,80.7867,-0.879754,-0.0421293,0.0311617,115.018,1.844,0.0,0.03147501220360021,0.88,0.0,2
141,2762.94,81.8241,-1.01851,-0.0461515,0.0340699,104.685,1.864,0.0,0.03165297347822166,0.88,0.0,2
142,2763.4,82.8632,-1.17212,-0.0505031,0.0372466,95.3568,1.884,0.0,0.03169428953724644,0.88,0.0,2
143,2763.87,83.9039,-1.33969,-0.0551918,0.0407103,86.9492,1.904,0.0,0.03163001822092808,0.88,0.0,2
144,2764.33,84.9457,-1.52313,-0.0602129,0.0445004,79.3914,1.924,0.0,0.03147950287833656,0.88,0.0,2
145,2764.81,85.9884,-1.71815,-0.0655769,0.0486385,72.5899,1.944,0.0,0.03126848572803899,0.88,0.0,2
146,2765.29,87.0082,-1.87345,-0.0711954,0.0531734,66.5511,1.964,0.0,0.03099125587433654,0.88,0.0,3
147,2765.77,87.5376,-1.62014,-0.0755666,0.0583185,62.3674,1.984,0.0,0.030394240118989512,0.88,0.0,3
148,2766.31,87.4872,-1.12732,-0.078069,0.0648858,59.9511,2.006,0.0,0.027688363038312652,1.0,0.0,3
149,2766.84,88.0662,-0.824208,-0.0799697,0.0721976,58.0715,2.028,0.0,0.022502664341050853,1.0,0.0,3
150,2767.38,88.928,-0.688377,-0.081919,0.0800283,56.2141,2.05,0.0,0.016482865408698373,0.88,0.0,3
151,2767.93,89.7981,-0.581357,-0.0835164,0.0882863,54.6464,2.072,0.0,0.01065894246416529,0.88,0.0,3
