attempt_id,block,position,agent_trial,agent_id,agent_label,seed,started_at,finished_at,valid_attempt,clean_completion,failure_category,laps_completed,lap_time_seconds,distance_m,steps,total_score,mean_speed_kmh,max_speed_kmh,off_track_steps,off_track_events,reverse_steps,reverse_events,stall_events,damage_delta,termination_reason,telemetry_path
b014-p03-agent7_v4,14,3,14,agent7_v4,Agent 7 v4 (race-line TD3),733323,2026-09-06T22:08:12.702092+00:00,2026-09-06T22:08:15.610724+00:00,True,False,off_track,0,,156.088,633,25976.33502640738,44.274699239968406,63.5776,4,1,0,0,0,0.0,off track,telemetry/b014-p03-agent7_v4.csv.gz
b014-p04-dyna_q_final,14,4,14,dyna_q_final,Dyna-Q final,733322,2026-09-06T22:08:28.812000+00:00,2026-09-06T22:08:35.171799+00:00,True,False,off_track,0,,1012.76,5432,174864.2824811124,33.036272647127284,68.7124,221,4,0,0,0,0.0,out of bounds,telemetry/b014-p04-dyna_q_final.csv.gz
b014-p05-agent8_final,14,5,14,agent8_final,Agent 8 final (sensor-only TD3),733324,2026-09-06T22:08:46.958097+00:00,2026-09-06T22:08:51.638919+00:00,True,False,off_track,0,,2038.14,3009,351619.92977407057,117.04538277271517,187.178,1,1,0,0,0,0.0,off track,telemetry/b014-p05-agent8_final.csv.gz
b015-p01-agent7_v4,15,1,15,agent7_v4,Agent 7 v4 (race-line TD3),733423,2026-09-06T22:09:03.387945+00:00,2026-09-06T22:09:12.905594+00:00,True,True,clean_completion,1,103.366,2943.1,4937,494555.367064127,100.37393158017015,127.156,0,0,0,0,0,0.0,target_laps_completed,telemetry/b015-p01-agent7_v4.csv.gz
b015-p02-rule_based,15,2,15,rule_based,Rule-based,733420,2026-09-06T22:09:24.652664+00:00,2026-09-06T22:09:30.151109+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b015-p02-rule_based.csv.gz
b015-p03-dyna_q_final,15,3,15,dyna_q_final,Dyna-Q final,733422,2026-09-06T22:09:42.982108+00:00,2026-09-06T22:09:56.499022+00:00,True,False,off_track,0,,2549.42,12507,447105.80720310716,36.55208890084673,83.3411,405,9,0,0,0,0.0,car stuck,telemetry/b015-p03-dyna_q_final.csv.gz
b015-p04-map_aware,15,4,15,map_aware,Map-aware,733421,2026-09-06T22:10:08.280115+00:00,2026-09-06T22:10:13.466326+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b015-p04-map_aware.csv.gz
b015-p05-agent8_final,15,5,15,agent8_final,Agent 8 final (sensor-only TD3),733424,2026-09-06T22:10:25.215507+00:00,2026-09-06T22:10:32.141559+00:00,True,True,clean_completion,1,83.038,2943.15,4013,499793.11303594324,124.75076348445054,249.443,0,0,0,0,0,0.0,target_laps_completed,telemetry/b015-p05-agent8_final.csv.gz
b016-p01-dyna_q_final,16,1,16,dyna_q_final,Dyna-Q final,733522,2026-09-06T22:10:44.915777+00:00,2026-09-06T22:10:46.082474+00:00,True,False,off_track,0,,166.186,625,28328.93207194924,46.35778804,75.2252,33,1,0,0,0,0.0,out of bounds,telemetry/b016-p01-dyna_q_final.csv.gz
b016-p02-agent8_final,16,2,16,agent8_final,Agent 8 final (sensor-only TD3),733524,2026-09-06T22:10:57.844912+00:00,2026-09-06T22:11:04.854659+00:00,True,True,clean_completion,1,83.038,2943.15,4013,499793.11303594324,124.75076348445054,249.443,0,0,0,0,0,0.0,target_laps_completed,telemetry/b016-p02-agent8_final.csv.gz
b016-p03-agent7_v4,16,3,16,agent7_v4,Agent 7 v4 (race-line TD3),733523,2026-09-06T22:11:16.604758+00:00,2026-09-06T22:11:25.931497+00:00,True,True,clean_completion,1,103.366,2943.1,4937,494555.367064127,100.37393158017015,127.156,0,0,0,0,0,0.0,target_laps_completed,telemetry/b016-p03-agent7_v4.csv.gz
b016-p04-map_aware,16,4,16,map_aware,Map-aware,733521,2026-09-06T22:11:37.671907+00:00,2026-09-06T22:11:42.936418+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b016-p04-map_aware.csv.gz
b016-p05-rule_based,16,5,16,rule_based,Rule-based,733520,2026-09-06T22:11:54.683686+00:00,2026-09-06T22:11:59.436716+00:00,True,False,reverse,0,,2177.16,4522,377041.2471254532,83.69550909948474,175.955,0,0,11,2,0,0.0,car stuck,telemetry/b016-p05-rule_based.csv.gz
b017-p01-map_aware,17,1,17,map_aware,Map-aware,733621,2026-09-06T22:12:11.181766+00:00,2026-09-06T22:12:16.279375+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b017-p01-map_aware.csv.gz
